date,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,usdt_vol,log returns,volatility
2023-07-08,30344.7,30386.81,30044.47,30284.63,13094.59042,1688860799999,395759717.57242780,480214,5990.91468000,181083431.19993060,0,396564825.8712446,-0.001981549842481556,0.1091532726073377
2023-07-09,30284.63,30445.52,30061.12,30160.71,15388.50196,1688947199999,465781514.25894760,473168,7017.35093000,212433521.88972890,0,464128144.9499916,-0.004100239112277748,0.10936792710801631
2023-07-10,30160.71,31045.78,29950.0,30411.57,41262.87652,1689033599999,1254289037.74207280,896853,19574.23470000,595390893.14500850,0,1254868857.6893363,0.008283044133909456,0.10530889102729854
2023-07-11,30411.57,30813.63,30300.0,30622.1,28476.83311,1689119999999,868966244.24126920,691213,13670.16079000,417204801.16296210,0,872020431.1777309,0.006898842392956794,0.10529421241618736
2023-07-12,30622.1,30983.25,30210.0,30380.0,38108.99669,1689206399999,1166497472.43317290,784195,18251.27965000,558742524.93122870,0,1157751319.4422,-0.007937473335964285,0.10598001849126693
2023-07-13,30380.0,31804.2,30251.0,31454.23,70772.51836,1689292799999,2194927210.22441580,1301632,36084.84178000,1119542855.15131710,0,2226095070.1746626,0.03474897613970285,0.1098683809838096
2023-07-14,31454.23,31630.0,29900.0,30312.01,60749.48424,1689379199999,1869443273.74762430,1274387,28513.77996000,877642037.82244150,0,1841438973.7777224,-0.036989469688736065,0.11192627340981184
2023-07-15,30312.0,30390.9,30200.0,30289.52,14118.55329,1689465599999,427921094.30217830,488354,6430.54981000,194912673.91192170,0,427644202.2485208,-0.0007422255191400495,0.11139748246447165
2023-07-16,30289.52,30441.46,30064.29,30231.99,15760.1281,1689551999999,477189328.00729370,494225,7322.44372000,221713710.22324300,0,476460035.117919,-0.0019011428276591857,0.10900283491377595
2023-07-17,30232.0,30336.96,29659.2,30138.0,30882.76839,1689638399999,929647644.24334300,816466,14352.21893000,432105955.45477030,0,930744873.73782,-0.003113801275832273,0.109251852886583
2023-07-18,30138.01,30239.78,29512.0,29859.13,30003.8601,1689724799999,897157095.47741110,754775,13771.19621000,411748868.06291270,0,895889159.2277131,-0.009296178277228506,0.10955207353742004
2023-07-19,29859.14,30189.09,29761.96,29909.21,25657.36137,1689811199999,769254865.28511510,617415,12260.98321000,367624217.91743550,0,767391409.2612176,0.0016758040032573973,0.10849708221848729
2023-07-20,29909.21,30417.46,29570.96,29800.0,37540.68193,1689897599999,1125950643.71164950,749723,18061.33493000,541742405.52049780,0,1118712321.514,-0.0036580662106331374,0.09582233244626495
2023-07-21,29800.0,30061.7,29726.34,29901.72,23881.40865,1689983999999,713123417.76121390,555611,11566.38840000,345404092.64590830,0,714095194.657878,0.003407610314390297,0.076305998831343
2023-07-22,29901.72,29999.0,29625.1,29794.0,14660.40467,1690070399999,437785700.33961020,423988,6725.50525000,200848375.44856950,0,436792096.73798,-0.003608972868347493,0.07630453208661155
2023-07-23,29793.99,30350.0,29730.0,30083.75,18292.78637,1690156799999,548940321.09158660,519434,8889.35695000,266761143.41169810,0,550315611.9584875,0.009678127907076117,0.07195559938878729
2023-07-24,30083.75,30099.58,28861.9,29176.5,39628.99691,1690243199999,1162562413.81901540,869107,18047.66786000,529388757.49158140,0,1156235428.344615,-0.030621568131758536,0.0778587910381919
2023-07-25,29176.5,29376.0,29047.65,29228.91,21565.7478,1690329599999,629531351.11456640,533797,10257.29455000,299466722.19760850,0,630343301.528898,0.001794697240116605,0.07792534405364515
2023-07-26,29228.91,29690.0,29096.94,29351.96,33931.63366,1690415999999,995569172.13968360,750401,15987.94266000,469155943.83416000,0,995959953.9229735,0.004201036310069739,0.07793890767951152
2023-07-27,29351.95,29567.49,29083.85,29222.78,22476.47626,1690502399999,659594157.34435760,583045,10384.95749000,304728875.73123620,0,656825120.9212028,-0.004410782171051508,0.07644299884433176
2023-07-28,29222.78,29542.22,29123.12,29314.14,23993.61627,1690588799999,702705076.83786600,543177,11422.36141000,334588917.08832910,0,703352226.4450577,0.0031214513568595947,0.0740944268598378
2023-07-29,29314.14,29406.92,29256.18,29352.9,10851.36844,1690675199999,318276733.87664310,339750,5443.09222000,159659088.16467640,0,318519132.68247604,0.0013213554199946742,0.0728958568825885
2023-07-30,29352.9,29449.0,29033.24,29281.09,15706.97441,1690761599999,459830379.65098240,454846,7720.41654000,226012721.37053510,0,459917331.3269069,-0.002449433712540028,0.07287479846970564
2023-07-31,29281.09,29530.0,29101.8,29232.25,22605.48964,1690847999999,663025204.20723460,563115,11029.22580000,323482162.29208640,0,660809324.52889,-0.0016693633056039658,0.07268676999147086
2023-08-01,29232.26,29739.25,28585.7,29705.99,44719.65162,1690934399999,1299160215.07792410,900141,21831.75056000,634595648.94353090,0,1328441523.8272038,0.01607615710438992,0.07475856012396494
2023-08-02,29705.99,30047.5,28927.5,29186.01,48181.65141,1691020799999,1419729744.64975190,945158,22953.81440000,676256840.27505930,0,1406230159.868774,-0.01765922409943066,0.07403049449741628
2023-08-03,29186.0,29433.33,28968.0,29193.64,26476.91994,1691107199999,773302705.49476290,651970,12901.09228000,376856740.48839370,0,772957669.0371816,0.00026139245587941673,0.07327271591087176
2023-08-04,29193.65,29333.08,28807.54,29113.99,23551.95217,1691193599999,686643453.39309040,544850,10539.62903000,307284659.32142800,0,685691299.9578583,-0.0027320626663573933,0.07294509854716918
2023-08-05,29114.0,29152.23,28978.64,29072.13,11645.52018,1691279999999,338478560.12182470,331924,5491.49620000,159611625.16587780,0,338560076.5905834,-0.0014388313646502837,0.07035700000966859
2023-08-06,29072.13,29205.09,28991.88,29088.42,13178.1972,1691366399999,383209498.87775050,338654,6471.24487000,188192943.69621700,0,383332934.996424,0.0005601735343265801,0.06845078653255685
2023-08-07,29088.43,29276.78,28701.03,29211.06,30966.87746,1691452799999,899492595.68127170,671438,15375.49318000,446702609.56457520,0,904575315.4967077,0.0042072478486439024,0.06867667167249684
2023-08-08,29211.06,30244.0,29146.45,29770.42,45700.53392,1691539199999,1352934531.66596730,877168,24189.62133000,716161501.57303640,0,1360524089.0226464,0.018967878407380567,0.07148671894117026
2023-08-09,29770.41,30160.0,29376.67,29581.99,38003.88725,1691625599999,1130396850.09741150,750252,18700.85778000,556446376.25178500,0,1124230612.5906277,-0.006349552885030363,0.07113758703724236
2023-08-10,29581.99,29738.0,29320.2,29455.75,23463.45373,1691711999999,692863472.08772490,513691,11204.06553000,330886650.20038180,0,691133627.2074475,-0.004276592986208527,0.07074332714947754
2023-08-11,29455.76,29564.52,29252.45,29426.03,20637.0443,1691798399999,607176051.30153670,437828,9803.94004000,288451712.10020850,0,607266284.6831291,-0.00100948043771254,0.07040877416027744
2023-08-12,29426.02,29481.35,29381.56,29430.17,8971.48068,1691884799999,263949405.54340290,310852,4181.99127000,123039182.15878990,0,264032201.5641156,0.0001406818655240727,0.05992358470138843
2023-08-13,29430.18,29474.65,29272.32,29303.84,11101.70947,1691971199999,326264625.22968240,341726,5257.07008000,154501729.24734910,0,325322718.0353648,-0.004301773191171421,0.048038279441008344
2023-08-14,29303.85,29695.32,29102.45,29430.93,31443.11532,1692057599999,924613476.68179900,671592,15036.11048000,442247506.16738440,0,925400125.9648477,0.004327596697699221,0.04834687990863178
2023-08-15,29430.92,29499.26,29059.6,29200.0,27503.87691,1692143999999,806683957.31001560,591162,12751.63951000,374046205.25905360,0,803113205.772,-0.007877452879609947,0.04883433623489517
2023-08-16,29200.01,29259.85,28723.08,28730.51,32996.69854,1692230399999,959870747.00631420,768028,14761.86053000,429510396.42982370,0,948011977.3704553,-0.016209084961303688,0.051081072975640324
2023-08-17,28730.51,28783.48,25166.0,26623.41,100271.54033,1692316799999,2755821274.34060490,1976577,47495.99471000,1302553963.31062280,0,2669570329.5371256,-0.07616872037641187,0.0902597906424296
2023-08-18,26623.41,26832.6,25619.0,26054.0,69790.65711,1692403199999,1834219523.69940400,1293122,33522.24573000,881095856.19440350,0,1818325780.34394,-0.02161959666114832,0.09178486739142434
2023-08-19,26054.0,26281.0,25801.09,26100.01,26160.75343,1692489599999,680623880.82475540,615764,12952.29598000,337010159.81151820,0,682795926.1305343,0.001764390194963994,0.0920023398641205
2023-08-20,26100.01,26299.0,25971.05,26189.99,19056.91209,1692575999999,497880752.23011580,451543,9909.12930000,258890029.08250630,0,499100337.06797916,0.003441579224087832,0.09200533549085196
2023-08-21,26190.0,26258.42,25812.0,26126.92,30267.24233,1692662399999,788205156.32159240,565987,14052.07264000,365942107.34064460,0,790789818.9765235,-0.002411076286948699,0.09202402788471932
2023-08-22,26126.92,26139.42,25300.0,26056.0,34247.06688,1692748799999,886782344.16029290,603624,16436.92888000,425661908.61497380,0,892341574.6252799,-0.002718132433543019,0.09089325959072572
2023-08-23,26055.99,26819.27,25812.82,26432.72,44023.69978,1692835199999,1156326251.92241100,673711,21955.66524000,576734438.29540010,0,1163666129.6488018,0.014354568703083714,0.08877398190165336
2023-08-24,26432.71,26577.87,25864.0,26180.05,30205.22116,1692921599999,792966965.89826580,575619,13987.93493000,367233375.41684340,0,790774200.229858,-0.009604966342235954,0.08883016992781424
2023-08-25,26180.05,26314.05,25777.15,26060.01,27753.33772,1693007999999,722611079.18980740,611438,13258.65894000,345214226.91825400,0,723252258.5165771,-0.004595714908301574,0.08845841344150834
2023-08-26,26060.0,26125.77,25985.92,26017.37,10022.22322,1693094399999,261041530.47580380,329412,4681.90628000,121952627.59767490,0,260751889.7373314,-0.0016375635459642268,0.08848743016900851
2023-08-27,26017.38,26182.23,25966.11,26101.77,12099.64216,1693180799999,315548363.01937760,349090,6170.48664000,160918200.39360970,0,315822076.7426232,0.0032387362406804954,0.08849709751500381
2023-08-28,26101.78,26253.99,25864.5,26120.0,22692.62655,1693267199999,591008939.17657000,523057,10912.40549000,284226173.79343950,0,592731405.4860001,0.0006981762870346131,0.08846147547223505
2023-08-29,26120.0,28142.85,25922.0,27716.34,74251.99488,1693353599999,2023326050.75847910,1137083,37945.55071000,1034244032.38146630,0,2057993535.772339,0.05932082656409854,0.1087430937299646
